Κατηγορία,Όνομα,Τιμή,Αντιπρόταση 1,Αντιπρόταση 2,Αντιπρόταση 3,Οινοποιείο,Περιοχή,Αλκοόλ,Ποικιλία,Ξηρότητα,Ορυκτότητα,Οξύτητα,Σώμα,Σχόλια
Αφρώδη,"Armand de Brignac, Brut Gold | Champagne | Reims",799,Krug | Grand Cuvée | Champagne | Reims,Jacquesson Cuvée 745 Extra Brut | Champagne | Aÿ,Ruinart ‘R’ Brut | Champagne | Reims,,,,,,,,,
Αφρώδη,Krug | Grand Cuvée | Champagne | Reims,592,"Armand de Brignac, Brut Gold | Champagne | Reims",Jacquesson Cuvée 745 Extra Brut | Champagne | Aÿ,Ruinart ‘R’ Brut | Champagne | Reims,,,,,,,,,
Αφρώδη,Veuve Clicquot Brut Yellow Label | Champagne | Reims,156,Taittinger Brut Reserve | Champagne | Reims,Louis Roederer Brut Collection | Champagne | Marne,Jacquesson Cuvée 745 Extra Brut | Champagne | Aÿ,,,,,,,,,
Αφρώδη,Taittinger Brut Reserve | Champagne | Reims,138,Louis Roederer Brut Collection | Champagne | Marne,Veuve Clicquot Brut Yellow Label | Champagne | Reims,Drappier | Carte d’Or Brut | Champagne | Urville,,,,,,,,,
Αφρώδη,Drappier | Carte d’Or Brut | Champagne | Urville,104,Louis Roederer Brut Collection | Champagne | Marne,Taittinger Brut Reserve | Champagne | Reims,Amalia Vintage Brut 2019 | Tselepos Winery | Method Traditionelle | PDO Mantinia,,,,,,,,,
Αφρώδη,Louis Roederer Brut Collection | Champagne | Marne,135,Taittinger Brut Reserve | Champagne | Reims,Veuve Clicquot Brut Yellow Label | Champagne | Reims,Drappier | Carte d’Or Brut | Champagne | Urville,,,,,,,,,
Αφρώδη,Jacquesson Cuvée 745 Extra Brut | Champagne | Aÿ,182,Ruinart ‘R’ Brut | Champagne | Reims,Veuve Clicquot Brut Yellow Label | Champagne | Reims,Taittinger Brut Reserve | Champagne | Reims,,,,,,,,,
Αφρώδη,Ruinart ‘R’ Brut | Champagne | Reims,182,Jacquesson Cuvée 745 Extra Brut | Champagne | Aÿ,Veuve Clicquot Brut Yellow Label | Champagne | Reims,Taittinger Brut Reserve | Champagne | Reims,,,,,,,,,
Ροζέ,Laurent Perrier Cuvée Rose | Champagne | Marne,212,"Côtes de Provence, France",Veuve Clicquot Rose | Champagne | Reims,Taittinger Brut Prestige Rose | Champagne | Reims,,,,,,,,,
Ροζέ,Veuve Clicquot Rose | Champagne | Reims,174,Taittinger Brut Prestige Rose | Champagne | Reims,"Côtes de Provence, France",Laurent Perrier Cuvée Rose | Champagne | Marne,,,,,,,,,
Ροζέ,Ruinart Brut Rose | Champagne | Reims,258,Laurent Perrier Cuvée Rose | Champagne | Marne,"Côtes de Provence, France",Veuve Clicquot Rose | Champagne | Reims,,,,,,,,,
Ροζέ,Taittinger Brut Prestige Rose | Champagne | Reims,169,Veuve Clicquot Rose | Champagne | Reims,"Côtes de Provence, France",Laurent Perrier Cuvée Rose | Champagne | Marne,,,,,,,,,
Αφρώδη,Douloufakis Brut | Method Traditionnelle | Crete,43,PDO Mantinia,"Prosecco, La Farra | DOC Treviso Italy",Amalia Vintage Brut 2019 | Tselepos Winery | Method Traditionelle | PDO Mantinia,,,,,,,,,
